7.2044e+05,0.029317,0.016826,0.013995,0.004116,-0.001079,0.028299,0.009363
7.2053e+05,0.026656,0.022837,0.051954,0.026894,0.014955,0.054785,0.016338
7.2062e+05,0.026082,0.01692,0.053549,0.016367,0.00735,0.029881,0.006927
7.2072e+05,0.011686,0.008226,0.016578,0.002526,0.002472,-0.011193,0.001644
7.2081e+05,0.011651,0.008389,0.016497,-0.002409,0.012435,-0.012067,-0.002954
7.209e+05,0.00566,0.008076,0.018368,0.024256,0.002304,-0.00337,0.012626
7.2099e+05,0.002499,-0.006051,-0.019266,0.022406,-0.009584,-0.067851,-0.006193
7.2108e+05,-0.010462,0.004374,-0.00055,-0.007543,0.005289,-0.000424,0.006301
7.2117e+05,-0.032239,-0.008064,-0.011563,-0.009612,0.004995,0.006157,-0.00139
7.2126e+05,-0.063928,-0.032958,-0.052655,-0.064204,-0.035286,-0.074478,-0.019017
7.2136e+05,-0.081254,-0.057797,-0.11075,-0.096482,0.027077,-0.13316,-0.035676
7.2144e+05,-0.045845,-0.016589,-0.048322,-0.004222,-0.009843,0.056401,0.014373
7.2154e+05,0.021433,0.017297,0.016179,0.063276,-0.011529,0.080125,0.030416
7.2163e+05,0.020088,0.015855,0.024464,0.044758,0.012698,0.019787,0.017871
7.2172e+05,0.031875,0.021235,0.056332,0.026822,0.01875,0.036881,0.015777
7.2181e+05,0.018337,0.009961,0.033702,0.008629,-0.004026,0.002694,0.008511
7.219e+05,0.024963,0.022252,0.023557,0.007241,0.000716,0.009983,0.006903
7.2199e+05,0.005002,0.027082,0.00591,0.011574,0.023626,0.042655,0.014758
7.2209e+05,0.011157,0.014128,0.022854,0.028998,0.002838,0.040034,0.009288
7.2218e+05,0.056488,0.030468,0.042697,0.028904,0.018458,0.039321,0.003152
7.2227e+05,0.014579,0.017711,0.005596,0.007713,0.006212,0.01664,0.004881
7.2236e+05,0.006542,0.008007,0.018451,0.001914,-0.010678,0.005123,0.017592
7.2245e+05,-0.007292,0.009303,0.002871,0.013185,-0.058785,-0.023772,0.007097
7.2254e+05,0.0362,0.020778,0.037746,0.017129,0.089881,0.038731,0.015811
